group_id,ship,n_segments,n_tows_merged,best_k,component,period_start,period_end,folder,year,topic_label,dominant_species,topic_idx
130,HM,96,2,2,component_2,2002-01-17,2002-01-19,group_0130_HM,2002,G130_component_2,Oithona similis,278
131,IN,193,5,2,component_1,2019-01-20,2019-01-25,group_0131_IN,2019,G131_component_1,Calanoida indet (small),279
131,IN,193,5,2,component_2,2019-01-20,2019-01-25,group_0131_IN,2019,G131_component_2,Calanus simillimus,280
132,IN,29,2,2,component_1,2019-02-26,2019-02-27,group_0132_IN,2019,G132_component_1,Calanus simillimus,281
132,IN,29,2,2,component_2,2019-02-26,2019-02-27,group_0132_IN,2019,G132_component_2,Foraminifera indet,282
133,IN,5,1,2,component_1,2019-02-28,2019-03-01,group_0133_IN,2019,G133_component_1,Calanus simillimus,283
133,IN,5,1,2,component_2,2019-02-28,2019-03-01,group_0133_IN,2019,G133_component_2,Calanoida indet (small),284
134,IN,35,1,2,component_1,2019-03-02,2019-03-02,group_0134_IN,2019,G134_component_1,Calanoida indet (small),285
134,IN,35,1,2,component_2,2019-03-02,2019-03-02,group_0134_IN,2019,G134_component_2,Calanoida indet (small),286
135,IN,373,6,2,component_1,2021-01-30,2021-02-08,group_0135_IN,2021,G135_component_1,Oithona similis,287
135,IN,373,6,2,component_2,2021-01-30,2021-02-08,group_0135_IN,2021,G135_component_2,Neocalanus tonsus,288
136,IN,10,1,2,component_1,2021-03-22,2021-03-22,group_0136_IN,2021,G136_component_1,Calanoida indet (small),289
136,IN,10,1,2,component_2,2021-03-22,2021-03-22,group_0136_IN,2021,G136_component_2,Oikopleura sp.,290
137,IN,85,2,2,component_1,2023-02-13,2023-02-15,group_0137_IN,2023,G137_component_1,Calanoida indet (small),291
137,IN,85,2,2,component_2,2023-02-13,2023-02-15,group_0137_IN,2023,G137_component_2,Oithona similis,292
138,IN,92,2,2,component_1,2023-02-16,2023-02-18,group_0138_IN,2023,G138_component_1,Calanus simillimus,293
138,IN,92,2,2,component_2,2023-02-16,2023-02-18,group_0138_IN,2023,G138_component_2,Oithona similis,294
139,KM,98,4,2,component_1,1999-11-24,1999-11-25,group_0139_KM,1999,G139_component_1,Oithona similis,295
139,KM,98,4,2,component_2,1999-11-24,1999-11-25,group_0139_KM,1999,G139_component_2,Calanoida indet (small),296
140,KM,180,2,2,component_1,2000-02-07,2000-02-09,group_0140_KM,2000,G140_component_1,Calanoida indet (small),297
140,KM,180,2,2,component_2,2000-02-07,2000-02-09,group_0140_KM,2000,G140_component_2,Oithona similis,298
141,PS,19,1,2,component_1,2004-03-31,2004-03-31,group_0141_PS,2004,G141_component_1,Clausocalanus laticeps,299
141,PS,19,1,2,component_2,2004-03-31,2004-03-31,group_0141_PS,2004,G141_component_2,Calanoida indet (small),300
142,PS,113,2,2,component_1,2007-12-02,2007-12-05,group_0142_PS,2007,G142_component_1,Calanoida indet (small),301
142,PS,113,2,2,component_2,2007-12-02,2007-12-05,group_0142_PS,2007,G142_component_2,Oithona similis,302
143,PS,96,2,2,component_1,2007-12-07,2007-12-09,group_0143_PS,2007,G143_component_1,Oithona similis,303
143,PS,96,2,2,component_2,2007-12-07,2007-12-09,group_0143_PS,2007,G143_component_2,Fritillaria sp.,304
144,PS,28,1,2,component_1,2008-01-30,2008-01-31,group_0144_PS,2008,G144_component_1,Calanus simillimus,305
144,PS,28,1,2,component_2,2008-01-30,2008-01-31,group_0144_PS,2008,G144_component_2,Calanoida indet (small),306
145,SA,86,3,2,component_1,2008-12-19,2008-12-21,group_0145_SA,2008,G145_component_1,Calanoida indet (small),307
145,SA,86,3,2,component_2,2008-12-19,2008-12-21,group_0145_SA,2008,G145_component_2,Oithona similis,308
146,SA,94,2,2,component_1,2008-12-23,2008-12-26,group_0146_SA,2008,G146_component_1,Foraminifera indet,309
146,SA,94,2,2,component_2,2008-12-23,2008-12-26,group_0146_SA,2008,G146_component_2,Copepoda nauplius indet,310
147,SA,36,1,2,component_1,2009-01-23,2009-01-23,group_0147_SA,2009,G147_component_1,Calanoides acutus,311
147,SA,36,1,2,component_2,2009-01-23,2009-01-23,group_0147_SA,2009,G147_component_2,Fritillaria sp.,312
148,SA,245,5,2,component_1,2009-01-27,2009-02-02,group_0148_SA,2009,G148_component_1,Foraminifera indet,313
148,SA,245,5,2,component_2,2009-01-27,2009-02-02,group_0148_SA,2009,G148_component_2,Calanoida indet (small),314
149,SA,162,2,2,component_1,2009-12-13,2009-12-17,group_0149_SA,2009,G149_component_1,Fritillaria sp.,315
149,SA,162,2,2,component_2,2009-12-13,2009-12-17,group_0149_SA,2009,G149_component_2,Oithona similis,316
150,SA,306,4,2,component_1,2010-02-09,2010-02-17,group_0150_SA,2010,G150_component_1,Oithona similis,317
150,SA,306,4,2,component_2,2010-02-09,2010-02-17,group_0150_SA,2010,G150_component_2,Calanoida indet (small),318
151,SA,192,3,2,component_1,2010-11-23,2010-11-27,group_0151_SA,2010,G151_component_1,Calanoida indet (small),319
151,SA,192,3,2,component_2,2010-11-23,2010-11-27,group_0151_SA,2010,G151_component_2,Fritillaria sp.,320
152,SA,161,4,2,component_1,2011-01-15,2011-01-18,group_0152_SA,2011,G152_component_1,Oithona similis,321
152,SA,161,4,2,component_2,2011-01-15,2011-01-18,group_0152_SA,2011,G152_component_2,Oithona similis,322
153,SA,189,3,2,component_1,2011-01-19,2011-01-23,group_0153_SA,2011,G153_component_1,Calanoida indet (small),323
153,SA,189,3,2,component_2,2011-01-19,2011-01-23,group_0153_SA,2011,G153_component_2,Paracalanus sp.,324
154,SA,227,4,2,component_1,2011-11-28,2011-12-04,group_0154_SA,2011,G154_component_1,Oithona similis,325
154,SA,227,4,2,component_2,2011-11-28,2011-12-04,group_0154_SA,2011,G154_component_2,Ctenocalanus sp.,326
155,SA,177,2,2,component_1,2012-02-22,2012-02-26,group_0155_SA,2012,G155_component_1,Oithona similis,327
155,SA,177,2,2,component_2,2012-02-22,2012-02-26,group_0155_SA,2012,G155_component_2,Fritillaria sp.,328
156,SA,37,1,2,component_1,2012-12-03,2012-12-04,group_0156_SA,2012,G156_component_1,Oithona similis,329
156,SA,37,1,2,component_2,2012-12-03,2012-12-04,group_0156_SA,2012,G156_component_2,Fritillaria sp.,330
157,SA,84,2,3,component_1,2012-12-06,2012-12-08,group_0157_SA,2012,G157_component_1,Oithona similis,331
157,SA,84,2,3,component_2,2012-12-06,2012-12-08,group_0157_SA,2012,G157_component_2,Foraminifera indet,332
157,SA,84,2,3,component_3,2012-12-06,2012-12-08,group_0157_SA,2012,G157_component_3,Calanoida indet (small),333
158,SA,59,1,2,component_1,2013-01-26,2013-01-27,group_0158_SA,2013,G158_component_1,Limacina sp.,334
158,SA,59,1,2,component_2,2013-01-26,2013-01-27,group_0158_SA,2013,G158_component_2,Calanoida indet (small),335
159,SA,324,5,2,component_1,2013-02-14,2013-02-24,group_0159_SA,2013,G159_component_1,Clausocalanus sp.,336
159,SA,324,5,2,component_2,2013-02-14,2013-02-24,group_0159_SA,2013,G159_component_2,Oithona similis,337
160,SA,8,1,3,component_1,2013-11-30,2013-11-30,group_0160_SA,2013,G160_component_1,Paracalanus sp.,338
160,SA,8,1,3,component_2,2013-11-30,2013-11-30,group_0160_SA,2013,G160_component_2,Calanoida indet (small),339
160,SA,8,1,3,component_3,2013-11-30,2013-11-30,group_0160_SA,2013,G160_component_3,Acartia sp.,340
161,SA,168,3,2,component_1,2013-12-04,2013-12-09,group_0161_SA,2013,G161_component_1,Oithona similis,341
161,SA,168,3,2,component_2,2013-12-04,2013-12-09,group_0161_SA,2013,G161_component_2,Foraminifera indet,342
162,SA,225,4,2,component_1,2014-02-03,2014-02-09,group_0162_SA,2014,G162_component_1,Calanus simillimus,343
162,SA,225,4,2,component_2,2014-02-03,2014-02-09,group_0162_SA,2014,G162_component_2,Oithona similis,344
163,SA,48,1,3,component_1,2014-02-10,2014-02-11,group_0163_SA,2014,G163_component_1,Foraminifera indet,345
163,SA,48,1,3,component_2,2014-02-10,2014-02-11,group_0163_SA,2014,G163_component_2,Paracalanus sp.,346
163,SA,48,1,3,component_3,2014-02-10,2014-02-11,group_0163_SA,2014,G163_component_3,Acartia sp.,347
164,SA,108,2,2,component_1,2014-12-06,2014-12-08,group_0164_SA,2014,G164_component_1,Oithona similis,348
164,SA,108,2,2,component_2,2014-12-06,2014-12-08,group_0164_SA,2014,G164_component_2,Fritillaria sp.,349
165,SA,94,3,3,component_1,2015-02-02,2015-02-04,group_0165_SA,2015,G165_component_1,Limacina sp.,350
165,SA,94,3,3,component_2,2015-02-02,2015-02-04,group_0165_SA,2015,G165_component_2,Oithona similis,351
165,SA,94,3,3,component_3,2015-02-02,2015-02-04,group_0165_SA,2015,G165_component_3,Fritillaria sp.,352
166,SA,80,2,2,component_1,2015-02-23,2015-02-25,group_0166_SA,2015,G166_component_1,Fritillaria sp.,353
