Segment_ID,K3_MC0,K3_MC1,K3_MC2
AA_8.0_12-Mar-1991_16:57,0.8242534,0.14690267,0.02884392
AA_8.0_12-Mar-1991_17:26,0.6430348,0.32995868,0.027006447
AA_8.0_12-Mar-1991_17:50,0.8790104,0.09101704,0.02997259
AA_8.0_12-Mar-1991_18:13,0.7259057,0.23063381,0.04346046
AA_8.0_12-Mar-1991_18:42,0.6226113,0.34244537,0.034943376
AA_8.0_12-Mar-1991_19:10,0.4839421,0.48907635,0.026981521
AA_8.0_12-Mar-1991_19:39,0.56017274,0.4173195,0.02250765
AA_8.0_12-Mar-1991_20:07,0.444433,0.52819973,0.027367184
AA_8.0_12-Mar-1991_20:35,0.4797852,0.48369437,0.03652039
AA_8.0_12-Mar-1991_20:57,0.7007263,0.2458214,0.05345227
AA_8.0_12-Mar-1991_21:20,0.40104666,0.57673395,0.022219379
AA_8.0_12-Mar-1991_21:43,0.30533016,0.6661027,0.028567158
AA_8.0_12-Mar-1991_22:05,0.44178036,0.52729744,0.030922212
AA_8.0_12-Mar-1991_22:28,0.20319316,0.69671917,0.10008765
AA_8.0_12-Mar-1991_22:50,0.207923,0.7554105,0.036666535
AA_8.0_12-Mar-1991_23:12,0.58148044,0.37682143,0.041698147
AA_8.0_12-Mar-1991_23:35,0.3418835,0.5773379,0.08077851
AA_8.0_12-Mar-1991_23:57,0.6869899,0.27536845,0.037641592
AA_8.0_13-Mar-1991_00:19,0.6281981,0.34567112,0.026130714
AA_8.0_13-Mar-1991_00:43,0.909303,0.032821987,0.057874974
AA_9.0_13-Mar-1991_01:48,0.7813688,0.14721277,0.0714184
AA_9.0_13-Mar-1991_02:14,0.7142737,0.24915762,0.036568765
AA_9.0_13-Mar-1991_02:40,0.6297067,0.22923146,0.14106187
AA_9.0_13-Mar-1991_03:07,0.7366026,0.01810238,0.24529508
AA_9.0_13-Mar-1991_03:33,0.5243133,0.12442835,0.3512584
AA_9.0_13-Mar-1991_04:00,0.18906659,0.09805265,0.7128808
AA_9.0_13-Mar-1991_04:27,0.40344203,0.19466178,0.40189618
AA_9.0_13-Mar-1991_04:54,0.6628278,0.03161335,0.3055589
AA_9.0_13-Mar-1991_05:22,0.26547873,0.038091116,0.69643015
AA_9.0_13-Mar-1991_05:48,0.20103794,0.046080057,0.75288194
AA_9.0_13-Mar-1991_06:15,0.40050662,0.092572995,0.5069204
AA_9.0_13-Mar-1991_06:42,0.5373534,0.18550493,0.27714172
AA_10.0_13-Jan-1993_12:26,0.13656928,0.13667092,0.72675985
AA_10.0_13-Jan-1993_12:47,0.13649735,0.53529537,0.32820728
AA_10.0_13-Jan-1993_13:08,0.1364973,0.53530836,0.32819435
AA_10.0_13-Jan-1993_13:28,0.13663775,0.13667092,0.72669137
AA_10.0_13-Jan-1993_13:49,0.16877769,0.18545319,0.6457691
AA_10.0_13-Jan-1993_14:10,0.2122215,0.28832948,0.49944904
AA_10.0_13-Jan-1993_14:31,0.57380223,0.14578839,0.28040934
AA_10.0_13-Jan-1993_14:54,0.1365541,0.13667089,0.726775
AA_10.0_13-Jan-1993_15:15,0.2122215,0.28832948,0.49944904
AA_10.0_13-Jan-1993_15:35,0.11316667,0.42705747,0.45977587
AA_10.0_13-Jan-1993_15:56,0.47861004,0.18538478,0.33600518
AA_10.0_13-Jan-1993_16:16,0.07979407,0.73203653,0.18816946
AA_10.0_13-Jan-1993_16:36,0.13649735,0.5352956,0.32820708
AA_10.0_13-Jan-1993_16:57,0.1367658,0.5407418,0.32249245
AA_10.0_13-Jan-1993_17:18,0.032460764,0.890989,0.07655022
AA_10.0_13-Jan-1993_17:38,0.04352627,0.8538287,0.10264506
AA_10.0_13-Jan-1993_17:59,0.06603822,0.7782303,0.15573145
AA_10.0_13-Jan-1993_18:19,0.0660382,0.7782304,0.15573138
AA_10.0_13-Jan-1993_18:39,0.10078779,0.6615395,0.23767275
AA_10.0_13-Jan-1993_19:00,0.13676576,0.5407418,0.32249242
AA_10.0_13-Jan-1993_19:20,0.13676578,0.5407417,0.3224925
AA_10.0_13-Jan-1993_19:41,0.13649733,0.53530204,0.3282006
AA_10.0_13-Jan-1993_20:01,0.15574475,0.19393313,0.65032214
AA_10.0_13-Jan-1993_20:22,0.2122215,0.28832948,0.49944904
AA_10.0_13-Jan-1993_20:42,0.2122215,0.28832948,0.49944904
AA_10.0_13-Jan-1993_21:02,0.2122215,0.28832948,0.49944904
AA_10.0_13-Jan-1993_21:22,0.1686064,0.18545318,0.6459404
AA_10.0_13-Jan-1993_21:42,0.2122215,0.28832948,0.49944904
AA_10.0_13-Jan-1993_22:02,0.16861674,0.18545318,0.64593005
AA_10.0_13-Jan-1993_22:22,0.2122215,0.28832948,0.49944904
AA_10.0_13-Jan-1993_22:41,0.1144846,0.10820619,0.77730924
AA_10.0_13-Jan-1993_23:01,0.41808036,0.19839293,0.38352668
AA_10.0_13-Jan-1993_23:21,0.13676591,0.54074126,0.3224928
AA_10.0_13-Jan-1993_23:42,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_00:03,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_00:23,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_00:44,0.25033805,0.46598414,0.2836778
AA_10.0_14-Jan-1993_01:06,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_01:28,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_01:51,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_02:14,0.13676591,0.5407415,0.32249263
AA_10.0_14-Jan-1993_02:37,0.13676576,0.5407417,0.32249254
AA_10.0_14-Jan-1993_03:00,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_03:22,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_03:44,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_04:07,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_04:29,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_04:52,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_05:14,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_05:37,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_05:59,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_06:23,0.13649729,0.53531545,0.32818726
AA_10.0_14-Jan-1993_06:45,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_07:09,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_07:30,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_07:51,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_08:13,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_08:34,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_08:56,0.1364973,0.535308,0.32819468
AA_10.0_14-Jan-1993_09:18,0.47860283,0.1853848,0.33601236
AA_10.0_14-Jan-1993_09:40,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_10:01,0.5959526,0.14750125,0.25654617
AA_10.0_14-Jan-1993_10:23,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_10:45,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_11:06,0.1367658,0.5407416,0.32249257
AA_10.0_14-Jan-1993_11:28,0.13649727,0.53532034,0.3281824
AA_10.0_14-Jan-1993_11:49,0.2122215,0.28832948,0.49944904
