source,target,weight
354,557,0.04566776752471924
354,466,0.05192064493894577
355,513,0.0028970707207918167
355,535,0.006287371274083853
356,203,0.1278945356607437
357,337,0.058903567492961884
358,179,0.007918103598058224
359,214,0.21655961871147156
360,286,0.3413047790527344
361,274,0.04116935282945633
362,84,0.019622262567281723
363,353,0.09955739229917526
364,343,0.1648651510477066
365,368,0.00751538434997201
366,380,0.9940544366836548
367,381,0.007048168685287237
367,386,0.013807342387735844
368,353,0.0019132179440930486
369,237,0.00971782673150301
372,18,0.015862494707107544
373,316,0.01580222137272358
374,119,0.16907280683517456
375,517,0.0036882716231048107
376,398,0.09883353859186172
377,373,0.23945413529872894
378,388,0.5036256909370422
379,383,0.027930263429880142
380,213,0.05232818424701691
384,373,0.02445557340979576
385,349,0.03522096574306488
386,437,0.000924804131500423
387,333,0.24071671068668365
388,383,0.04084571450948715
388,310,0.14391939342021942
389,605,0.014781435020267963
390,399,0.00424199178814888
390,604,0.43100762367248535
391,269,0.0314459353685379
392,373,0.11569661647081375
393,409,0.029381416738033295
393,415,0.05456717684864998
394,379,0.2257370501756668
395,381,0.10117430984973907
396,398,0.11989501863718033
396,228,0.5441015958786011
397,326,0.26790717244148254
400,470,0.09320855140686035
401,562,0.010823434218764305
402,406,0.19917799532413483
402,333,0.2120216339826584
403,371,0.013763746246695518
404,473,0.048160843551158905
405,441,0.008634465746581554
407,480,0.00031687706359662116
408,419,0.015366354957222939
409,517,0.00015006196917966008
410,407,0.0026816739700734615
411,417,0.0037978345062583685
412,22,0.0319247804582119
414,37,0.2383657842874527
416,158,0.011870128102600574
417,413,0.004752472974359989
418,537,0.04262257739901543
419,43,0.014910436235368252
420,330,0.02942577376961708
422,5,0.33382734656333923
423,556,0.06117866560816765
424,551,0.06168430671095848
425,427,0.013432829640805721
425,89,0.013592922128736973
426,542,0.038563553243875504
428,482,0.04174865409731865
429,603,0.0036094565875828266
430,69,0.16153185069561005
432,534,0.015316886827349663
433,428,0.0507676862180233
434,425,0.017839187756180763
435,301,0.0034276372753083706
436,482,0.005208284594118595
436,316,0.009306973777711391
438,156,0.010389450006186962
439,169,0.01816566288471222
440,542,0.019080013036727905
441,437,0.0071413652040064335
442,146,0.012604041025042534
444,533,0.03298718109726906
445,424,0.18769922852516174
446,86,0.009817535057663918
447,323,0.011024602688848972
448,131,0.031050119549036026
448,87,0.13244247436523438
449,440,0.038377732038497925
449,553,0.04655623435974121
450,552,0.11258377134799957
450,458,0.11594796180725098
451,458,0.06552273780107498
451,421,0.06619161367416382
452,423,0.09465882182121277
453,458,0.05868327617645264
455,447,0.01970326155424118
456,449,0.09403520077466965
457,370,0.028012484312057495
458,91,0.04888477548956871
459,461,0.06062515079975128
459,557,0.07975069433450699
460,101,0.006174116395413876
462,146,0.0044601415283977985
463,564,0.006153746508061886
464,563,0.01988663338124752
465,590,0.007308439817279577
466,563,0.012266414240002632
466,469,0.017581533640623093
467,473,0.010348587296903133
467,490,0.01086833979934454
468,474,0.012042945250868797
469,569,0.013349514454603195
470,334,0.06441912800073624
471,565,0.01661735214293003
471,593,0.018006015568971634
472,508,0.005519158206880093
474,574,0.005207694601267576
475,592,0.0033215454313904047
475,602,0.00505171250551939
476,190,0.01656063087284565
477,475,0.007987440563738346
478,463,0.008290131576359272
479,567,0.01616697758436203
481,499,0.014130477793514729
481,190,0.016654586419463158
485,477,0.03531339019536972
486,478,0.023826314136385918
488,469,0.04780786484479904
489,602,0.009593425318598747
490,601,0.01081643532961607
491,593,0.005304539576172829
491,575,0.01929434761404991
492,41,0.1752498596906662
493,602,0.0011520212283357978
493,578,0.001968316501006484
494,467,0.04711887612938881
495,499,0.013864033855497837
496,492,0.23352950811386108
497,578,0.0018821035046130419
497,386,0.001901342417113483
498,595,0.00924495980143547
500,401,0.016237011179327965
501,504,0.019686192274093628
501,467,0.024149728938937187
502,482,0.018144287168979645
503,592,0.007802169304341078
505,513,0.020684612914919853
507,511,0.011518369428813457
507,334,0.08601024746894836
508,352,0.0026960207615047693
509,605,0.029173603281378746
510,514,0.14515548944473267
511,93,0.10372240096330643
512,508,0.0033654768485575914
514,96,0.09759295731782913
515,169,0.007185548078268766
515,523,0.011725309304893017
516,527,0.001797657459974289
518,76,0.010274325497448444
519,3,0.00025909385294653475
521,136,0.013805139809846878
522,159,0.006123838014900684
524,542,0.01679070293903351
525,564,0.01882760040462017
526,123,0.010578541085124016
526,596,0.014468452893197536
527,529,0.0006066454807296395
528,531,0.008822940289974213
530,43,0.004616545047610998
531,530,0.004854246508330107
533,541,0.004631190560758114
534,355,0.015010837465524673
537,540,0.010159174911677837
538,395,0.16878736019134521
539,83,0.008141916245222092
541,543,0.0037229417357593775
542,372,0.015951158478856087
544,114,0.015206721611320972
545,308,0.013631429523229599
546,349,0.04141664505004883
547,88,0.05485031381249428
548,18,0.022391302511096
549,553,0.035217974334955215
550,127,0.015083927661180496
551,273,0.028877118602395058
553,443,0.017449893057346344
554,318,0.07206187397241592
555,308,0.029882382601499557
556,550,0.020698674023151398
558,586,0.022962331771850586
559,188,0.01577543094754219
560,494,0.1043030172586441
561,528,0.01483917236328125
562,192,0.0031450705137103796
564,183,0.0057781110517680645
566,260,0.04305976256728172
567,590,0.008840038441121578
568,460,0.006584748160094023
569,581,0.012783573009073734
570,465,0.009283222258090973
571,584,0.009148412384092808
572,583,0.008597208186984062
572,503,0.009480454958975315
573,595,0.002230189274996519
574,493,0.0011605843901634216
575,601,0.009785041213035583
576,596,0.0018736714264377952
576,134,0.0021231300197541714
577,573,0.004231590311974287
577,591,0.009935219772160053
579,591,0.005849042907357216
579,590,0.008802912198007107
579,190,0.018504781648516655
580,588,0.004711379297077656
581,585,0.0142904594540596
582,170,0.012206630781292915
582,67,0.025659264996647835
583,589,0.005013240501284599
584,465,0.023419015109539032
585,597,0.005918432958424091
586,598,0.023673616349697113
587,577,0.014056434854865074
588,475,0.005564546212553978
594,582,0.014204161241650581
594,120,0.030921954661607742
597,344,0.026652676984667778
598,195,0.004907958209514618
599,471,0.018980899825692177
600,265,0.0006872457452118397
601,573,0.0030928263440728188
604,1,0.19639012217521667
605,177,0.013568216003477573
606,46,0.003823151346296072
607,36,0.003733827034011483
