	rank	measure	value
929	6	cosine_similarity	0.6484850971201532
930	6	r_squared	0.25824479044526977
931	6	cosine_similarity	0.5537470440219704
932	6	r_squared	0.23207785377994
933	6	cosine_similarity	0.524299411730229
934	6	r_squared	0.35770763708758435
935	6	cosine_similarity	0.6244786332215483
936	6	r_squared	0.35102271375888394
937	6	cosine_similarity	0.6322629203021821
938	6	r_squared	0.36790396498605393
939	6	cosine_similarity	0.6231545953986273
940	6	r_squared	0.39679746975689034
941	6	cosine_similarity	0.6158339957525057
942	6	r_squared	0.20135263768097048
943	6	cosine_similarity	0.5350040586711065
944	6	r_squared	0.3790846648293276
945	6	cosine_similarity	0.6011884878167283
946	6	r_squared	0.3990737238435325
947	6	cosine_similarity	0.622826854609789
948	6	r_squared	0.4028806174535668
949	6	cosine_similarity	0.6344428166667324
950	6	r_squared	0.3832770353490136
951	6	cosine_similarity	0.6136770503956481
952	6	r_squared	0.3888702448901346
953	6	cosine_similarity	0.6326560951128924
954	6	r_squared	0.45889191938752993
955	6	cosine_similarity	0.673863800547814
956	6	r_squared	0.35574196115437323
957	6	cosine_similarity	0.5874452847504783
958	6	r_squared	0.270588721431771
959	6	cosine_similarity	0.5454456378221838
960	6	r_squared	0.41542836938902966
961	6	cosine_similarity	0.6376460707765118
962	6	r_squared	0.24321563414678404
963	6	cosine_similarity	0.5444280485092343
964	6	r_squared	0.4139074755469659
965	6	cosine_similarity	0.6424323657676502
966	6	r_squared	0.3383011561702747
967	6	cosine_similarity	0.5976266907351093
968	6	r_squared	0.2392775669358798
969	6	cosine_similarity	0.5484964250140565
970	6	r_squared	0.25167624702853275
971	6	cosine_similarity	0.5102295010767771
972	6	r_squared	0.4148738241907194
973	6	cosine_similarity	0.6429007926844611
974	6	r_squared	0.3697453826026892
975	6	cosine_similarity	0.6074620641070916
976	6	r_squared	0.4176548364781936
977	6	cosine_similarity	0.654190688891923
978	6	r_squared	0.391463304269399
979	6	cosine_similarity	0.6354226712585976
980	6	r_squared	0.24057808135445866
981	6	cosine_similarity	0.5091682468013248
982	6	r_squared	0.3453039906292522
983	6	cosine_similarity	0.5987290504883929
984	6	r_squared	0.41016073742451187
985	6	cosine_similarity	0.6491825851733238
986	6	r_squared	0.39648926992309047
987	6	cosine_similarity	0.6187760628632089
988	6	r_squared	0.220458927771908
989	6	cosine_similarity	0.49795140536516175
990	6	r_squared	0.41061570689567467
991	6	cosine_similarity	0.6424732752422591
992	6	r_squared	0.2047576636840548
993	6	cosine_similarity	0.5060848264509569
994	6	r_squared	0.38399705119667904
995	6	cosine_similarity	0.6215963169119662
996	6	r_squared	0.2551167885069625
997	6	cosine_similarity	0.549094278169523
998	6	r_squared	0.21393097360381652
999	6	cosine_similarity	0.4995402447137308
1000	7	r_squared	0.4247083790052318
1001	7	cosine_similarity	0.6596205551231614
1002	7	r_squared	0.4357752635152979
1003	7	cosine_similarity	0.6528423255129048
1004	7	r_squared	0.23367128122368175
1005	7	cosine_similarity	0.5190060081010447
1006	7	r_squared	0.39672880571491864
1007	7	cosine_similarity	0.6413557631081943
1008	7	r_squared	0.21304478939362648
1009	7	cosine_similarity	0.5184546656326525
1010	7	r_squared	0.22567346652039177
1011	7	cosine_similarity	0.49023359493973406
1012	7	r_squared	0.3760084474097921
1013	7	cosine_similarity	0.6405633980741147
1014	7	r_squared	0.2676869611185741
1015	7	cosine_similarity	0.5484413539242401
1016	7	r_squared	0.07009708046450525
1017	7	cosine_similarity	0.4464108385859052
1018	7	r_squared	0.22755265785095316
