h3_cell,year,center_lat,center_lon,n_segments,n_tows,n_ships,ships,season,months,mean_segment_length,total_abundance_sum,mean_total_abundance,mean_total_plankton_corrected,mean_water_temperature,mean_salinity,mean_fluorescence,mean_phytoplankton_colour_index,mean_par,mean_hadisst_sst,mean_hadisst_ice,dist_to_antarctica_km,ocean_zone,ocean_zone_num
83bf69fffffffff,2010,-44.9748,146.9147,17,1,1,AA,2010-11,December,5.0,3007,176.88,35.3765,13.44,33.61,0.61,1.0,1293.32,13.01,0.0,2454.9,North of STF,1
83bf69fffffffff,2011,-44.9515,147.4113,7,1,1,AA,2010-11,February,5.35,124,17.71,3.2892,14.34,34.88,1.09,0.0,301.19,14.43,0.0,2454.9,North of STF,1
83bf69fffffffff,2012,-44.5757,146.4768,22,3,1,AA,2012-13,December;November;September,5.0,1859,84.5,16.9,12.37,35.04,0.93,0.05,426.08,11.73,0.0,2454.9,North of STF,1
83bf6bfffffffff,2008,-43.9646,147.3055,7,1,1,AA,2007-08,March,5.0,478,68.29,13.6571,14.76,35.08,1.6,0.0,6.88,15.51,0.0,2559.8,North of STF,1
83bf6bfffffffff,2012,-43.819,147.3359,20,2,1,AA,2012-13,November;September,5.0,1903,95.15,19.03,12.15,35.12,0.74,0.0,236.16,11.67,0.0,2559.8,North of STF,1
83bf6cfffffffff,2018,-45.8319,149.9772,4,1,1,AA,2017-18,March,5.0,122,30.5,6.1,14.94,34.93,320.98,0.0,128.5,15.14,0.0,2382.4,North of STF,1
83bf6dfffffffff,2008,-45.5927,147.1965,5,1,1,UM,2007-08,February,5.106,19,3.8,0.7442,15.87,35.12,3.12,,659.53,13.81,0.0,2378.6,North of STF,1
83bf6dfffffffff,2011,-45.7063,147.3653,11,1,1,AA,2010-11,February,5.0,302,27.45,5.4909,14.08,34.88,0.71,0.0,692.51,13.65,0.0,2378.6,North of STF,1
83c800fffffffff,2011,-40.2915,110.0041,6,1,1,UM,2011-12,December,5.0,113,18.83,3.7667,14.05,34.86,0.5,0.0,1683.8,14.03,0.0,2848.6,North of STF,1
83c801fffffffff,2008,-40.4185,108.3263,10,1,1,UM,2007-08,January,5.0,175,17.5,3.5,14.04,34.74,3.96,,19.29,14.67,0.0,2771.8,North of STF,1
83c802fffffffff,2008,-39.1171,109.6731,12,1,1,UM,2007-08,January,4.816,226,18.83,3.8063,15.93,34.92,2.44,,1534.33,15.89,0.0,2931.8,North of STF,1
83c803fffffffff,2008,-39.7989,108.9695,9,1,1,UM,2007-08,January,5.0,126,14.0,2.8,14.65,34.83,2.9,,671.23,15.45,0.0,2845.7,North of STF,1
83c805fffffffff,2011,-41.0403,109.9975,12,1,1,UM,2011-12,December,5.0,302,25.17,5.0333,13.71,34.86,0.75,0.0,1625.74,13.52,0.0,2765.5,STF-SAF,2
83c80cfffffffff,2008,-41.1924,107.492,14,1,1,UM,2007-08,January,5.0,266,19.0,3.8,13.0,34.66,6.13,,0.0,14.04,0.0,2679.9,STF-SAF,2
83c80dfffffffff,2008,-42.0643,106.6327,12,1,1,UM,2007-08,January,5.0,159,13.25,2.65,12.68,34.66,5.7,,74.86,13.32,0.0,2577.9,STF-SAF,2
83c828fffffffff,2011,-42.6617,110.0205,1,1,1,UM,2011-12,December,5.0,58,58.0,11.6,12.59,34.86,2.26,0.0,54.16,12.55,0.0,2585.5,STF-SAF,2
83c82cfffffffff,2011,-43.0373,110.0023,8,1,1,UM,2011-12,December,5.0,652,81.5,16.3,12.5,34.88,3.36,0.0,2.78,12.06,0.0,2543.9,STF-SAF,2
83c82dfffffffff,2011,-43.8274,109.9928,11,1,1,UM,2011-12,December,5.0,758,68.91,13.7818,11.62,34.76,5.49,0.0,0.26,11.42,0.0,2456.2,STF-SAF,2
83c82dfffffffff,2015,-44.1947,109.9935,3,1,1,SH2,2014-15,March,4.383,26,8.67,1.8116,11.34,34.59,113.2,0.0,,11.1,0.0,2456.2,STF-SAF,2
83c82dfffffffff,2020,-44.1885,109.9985,2,1,1,UM,2019-20,January,5.0,22,11.0,2.2,11.61,34.42,0.61,0.0,1743.26,11.91,0.0,2456.2,STF-SAF,2
83c82efffffffff,2011,-42.0805,110.0102,13,1,1,UM,2011-12,December,5.0,897,69.0,13.8,12.73,34.82,1.43,0.0,847.15,12.89,0.0,2650.0,STF-SAF,2
83c843fffffffff,2009,-44.0391,99.7305,8,1,1,UM,2008-09,February,4.811,119,14.88,3.0507,12.78,34.32,0.93,,1371.85,11.44,0.0,2356.1,STF-SAF,2
83c844fffffffff,2003,-44.7311,102.6542,14,1,1,AA,2003-04,November,5.0,737,52.64,10.5286,,,8.96,,1345.1,9.89,0.0,2270.8,STF-SAF,2
83c844fffffffff,2005,-44.9177,102.7865,22,2,2,AA;UM,2004-05;2005-06,December;January,5.0,1424,64.73,12.9455,10.68,34.74,5.41,,0.0,10.04,0.0,2270.8,STF-SAF,2
83c845fffffffff,2003,-45.5963,101.6377,13,1,1,AA,2003-04,November,5.0,562,43.23,8.6462,,,15.97,,253.47,9.37,0.0,2175.9,STF-SAF,2
83c845fffffffff,2005,-45.633,102.0551,8,1,1,AA,2005-06,December,5.0,1257,157.12,31.425,8.91,34.41,5.83,,11.57,9.24,0.0,2175.9,STF-SAF,2
83c846fffffffff,2005,-44.176,102.7041,3,1,1,AA,2005-06,December,4.267,157,52.33,12.0905,10.47,34.78,5.81,,0.0,10.17,0.0,2332.4,STF-SAF,2
83c84cfffffffff,2009,-45.5202,98.4048,13,1,1,UM,2008-09,February,5.0,132,10.15,2.0308,10.42,34.01,2.29,,180.11,10.0,0.0,2216.8,STF-SAF,2
83c84efffffffff,2009,-44.5868,98.8838,12,1,1,UM,2008-09,February,5.0,137,11.42,2.2833,11.77,34.13,0.85,,1297.64,11.02,0.0,2318.9,STF-SAF,2
83c860fffffffff,2012,-46.3358,103.8234,11,1,1,AA,2011-12,February,5.0,663,60.27,12.0545,9.82,34.0,0.79,0.0,0.0,9.7,0.0,2093.1,STF-SAF,2
83c861fffffffff,2012,-47.1792,103.4794,10,1,1,AA,2011-12,February,5.0,134,13.4,2.68,8.81,33.95,0.68,0.0,125.68,8.89,0.0,1998.9,STF-SAF,2
83c862fffffffff,2008,-45.0618,103.6025,9,1,1,UM,2007-08,January,5.0,194,21.56,4.3111,10.27,34.32,5.87,,0.01,10.4,0.0,2234.4,STF-SAF,2
83c862fffffffff,2012,-45.3291,104.2068,14,1,1,AA,2011-12,February,5.0,599,42.79,8.5571,12.03,34.41,0.77,0.0,0.0,10.98,0.0,2234.4,STF-SAF,2
83c863fffffffff,2005,-45.794,102.5632,12,1,1,UM,2004-05,January,5.0,424,35.33,7.0667,9.71,,4.45,,142.16,9.82,0.0,2152.7,STF-SAF,2
83c863fffffffff,2008,-45.8753,102.7764,15,1,1,UM,2007-08,January,5.0,444,29.6,5.92,9.26,34.08,5.65,,0.0,9.49,0.0,2152.7,STF-SAF,2
83c868fffffffff,2003,-47.1005,100.0032,14,1,1,AA,2003-04,November,5.0,1197,85.5,17.1,,,22.38,,0.0,7.68,0.0,2015.1,STF-SAF,2
83c868fffffffff,2005,-47.3843,100.6221,9,1,1,UM,2004-05,January,5.0,1249,138.78,27.7556,7.69,,1.94,,936.99,8.24,0.0,2015.1,STF-SAF,2
83c868fffffffff,2008,-47.6494,100.5734,1,1,1,UM,2007-08,January,5.0,38,38.0,7.6,7.78,33.89,3.39,,400.0,8.01,0.0,2015.1,STF-SAF,2
83c869fffffffff,2003,-47.9341,99.0815,11,1,1,AA,2003-04,November,5.0,271,24.64,4.9273,,,11.65,,293.26,6.76,0.0,1946.5,SAF-PF,3
83c869fffffffff,2009,-47.642,97.8012,5,1,1,UM,2008-09,February,5.0,197,39.4,7.88,8.72,33.87,2.11,,68.94,8.17,0.0,1946.5,SAF-PF,3
83c86bfffffffff,2009,-46.5365,98.1034,12,1,1,UM,2008-09,February,5.0,698,58.17,11.6333,9.58,33.95,3.18,,0.26,9.08,0.0,2105.2,STF-SAF,2
83c86cfffffffff,2005,-47.6909,101.3497,13,1,1,AA,2005-06,December,5.0,1496,115.08,23.0154,6.74,34.12,4.43,,722.96,6.85,0.0,1944.4,STF-SAF,2
83c86cfffffffff,2006,-48.0879,101.1459,4,1,1,UM,2005-06,January,4.912,553,138.25,27.9285,8.51,34.14,2.57,,1050.13,7.52,0.0,1944.4,SAF-PF,3
83c86cfffffffff,2008,-47.3649,100.9388,8,1,1,UM,2007-08,January,5.0,320,40.0,8.0,7.75,33.9,3.56,,416.64,7.98,0.0,1944.4,STF-SAF,2
83c86dfffffffff,2005,-48.1125,99.8037,13,1,1,UM,2004-05,January,5.0,2699,207.62,41.5231,7.42,,3.91,,61.01,7.86,0.0,1904.0,SAF-PF,3
83c86dfffffffff,2006,-48.5147,100.5547,10,1,1,UM,2005-06,January,5.0,1636,163.6,32.72,7.35,34.01,3.57,,279.87,7.31,0.0,1904.0,SAF-PF,3
83c86dfffffffff,2008,-48.159,100.0089,14,2,1,UM,2007-08,January,5.156,753,53.79,10.4535,7.22,33.87,3.3,,552.9,7.54,0.0,1904.0,SAF-PF,3
83c86efffffffff,2003,-46.3493,100.8268,8,2,1,AA,2003-04,November,5.066,569,71.12,14.1483,,,22.91,,0.0,8.35,0.0,2095.0,STF-SAF,2
83c86efffffffff,2005,-46.5656,101.5678,29,3,2,AA;UM,2004-05;2005-06,December;January,5.072,3130,107.93,21.3047,7.44,34.15,3.42,,968.38,8.53,0.0,2095.0,STF-SAF,2
