kingdom,subkingdom,infrakingdom,phylum,subphylum,class,subclass,order,suborder,family,genus,species,ID,LifeStage,Qualifier
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Heterorhabdidae,Heterorhabdus,Heterorhabdus austrinus,Heterorhabdus austrinus,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Heterorhabdidae,Heterorhabdus,Heterorhabdus lobatus,Heterorhabdus lobatus,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Heterorhabdidae,Heterorhabdus,,Heterorhabdus sp.,,sp
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Heterorhabdidae,Heterorhabdus,Heterorhabdus spinifrons,Heterorhabdus spinifrons,,
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Hyperiidae,Hyperia,,Hyperia sp.,,sp
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Hyperiidae,Hyperia,Hyperia spinigera,Hyperia spinigera,,
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Hyperiidae,Hyperiella,Hyperiella antarctica,Hyperiella antarctica,,
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Hyperiidae,Hyperiella,Hyperiella dilatata,Hyperiella dilatata,,
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Hyperiidae,Hyperiella,,Hyperiella sp.,,sp
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,,,,Hyperiidea indet,,indet
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Hyperiidae,Hyperoche,Hyperoche medusarum,Hyperoche medusarum,,
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Hyperiidae,Hyperoche,,Hyperoche sp.,,sp
Animalia,,,Annelida,,Polychaeta,Errantia,Phyllodocida,Phyllodocida incertae sedis,Iospilidae,,,Iospilidae indet,,indet
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,,,,Isopoda indet,,indet
